supplier,region,postcode,scraped_at,tariff_name,elec_unit_rate_p,elec_day_rate_p,elec_night_rate_p,elec_standing_p,gas_unit_rate_p,gas_standing_p,exit_fee_gbp,contract_months,error
british_gas,Eastern,IP4 5ET,2026-02-02T04:25:25.793801,Fixed Tariff Jan27 v2,27.011,,,48.388,5.564,33.806,£50 per fuel,,
british_gas,East Midlands,DE23 6JJ,2026-02-02T04:26:36.268694,Fixed Tariff Jan27 v2,26.036,,,49.222,5.537,33.89,£50 per fuel,,
british_gas,London,N5 2SD,2026-02-02T04:27:36.647794,Fixed Tariff Jan27 v2,26.114,,,46.193,5.775,34.709,£50 per fuel,,
british_gas,North Wales & Merseyside,L3 2BN,2026-02-02T04:30:18.970733,Fixed Tariff Jan27 v2,28.204,,,70.084,5.817,34.571,£50 per fuel,,
british_gas,West Midlands,SY2 6HL,2026-02-02T04:31:20.087259,Fixed Tariff Jan27 v2,26.126,,,53.137,5.585,34.192,£50 per fuel,,
british_gas,North East,NE2 1UY,2026-02-02T04:32:32.693562,Fixed Tariff Jan27 v2,25.91,,,60.002,5.695,34.284,£50 per fuel,,
british_gas,North West,PR4 2NB,2026-02-02T04:35:06.102597,Fixed Tariff Jan27 v2,27.591,,,51.294,5.405,34.312,£50 per fuel,,
british_gas,South East,BN2 7HQ,2026-02-02T04:36:10.000225,Fixed Tariff Jan27 v2,27.401,,,47.732,5.605,33.74,£50 per fuel,,
british_gas,Southern,BH6 4AS,2026-02-02T04:37:16.386317,Fixed Tariff Jan27 v2,26.957,,,44.76,5.692,33.619,£50 per fuel,,
british_gas,South Wales,CF14 2DY,2026-02-02T04:39:52.013688,Fixed Tariff Jan27 v2,27.316,,,51.826,5.819,34.439,£50 per fuel,,
british_gas,South West,PL9 7BS,2026-02-02T04:40:49.196192,Fixed Tariff Jan27 v2,27.305,,,54.17,5.91,33.78,£50 per fuel,,
british_gas,Yorkshire,YO31 1DT,2026-02-02T04:42:02.919065,Fixed Tariff Jan27 v2,25.91,,,60.002,5.695,34.284,£50 per fuel,,
british_gas,North Scotland,AB24 3EN,2026-02-02T04:44:33.308831,Fixed Tariff Jan27 v2,27.538,,,61.135,5.541,34.353,£50 per fuel,,
